tamanho;cenario;algoritmo;execucao;comparacoes;movimentacoes;tempo_ms;ordenado
1000000;Invertido;Selection Sort;2;499999500000;1500000;775194.619792;sim
1000000;Invertido;Merch Sort;2;0;19951424;6.810708;nao
1000000;Invertido;Quick Sort;2;19000036;1500000;10.826428;sim
1000000;Invertido;Heap Sort;2;1499998;3000000;1.331425;nao
1000000;Invertido;Shell Sort;2;35715034;36000014;20.559656;sim
1000000;Invertido;Bubble Sort;3;499999500000;1499998500000;556480.957764;sim
1000000;Invertido;InsertionSort;3;999999000000;2000000;371667.730965;sim
1000000;Invertido;Selection Sort;3;499999500000;1500000;770739.747444;sim
1000000;Invertido;Merch Sort;3;0;19951424;7.515815;nao
1000000;Invertido;Quick Sort;3;19000036;1500000;11.303979;sim
1000000;Invertido;Heap Sort;3;1499998;3000000;1.415620;nao
1000000;Invertido;Shell Sort;3;35715034;36000014;21.128156;sim
1000000;Aleatorio;Bubble Sort;1;499999233185;749316804156;1115298.272935;sim
1000000;Aleatorio;InsertionSort;1;499545536090;2000000;196762.517198;sim
1000000;Aleatorio;Selection Sort;1;499999500000;2999964;779560.154094;sim
1000000;Aleatorio;Merch Sort;1;0;19951424;6.807728;nao
1000000;Aleatorio;Quick Sort;1;27714834;13977849;84.880928;sim
1000000;Aleatorio;Heap Sort;1;1807317;3921957;3.310543;nao
1000000;Aleatorio;Shell Sort;1;115116449;36000014;125.408295;sim
1000000;Aleatorio;Bubble Sort;2;499999019310;750391364763;1110349.778345;sim
1000000;Aleatorio;InsertionSort;2;500261909822;2000000;183902.007777;sim
1000000;Aleatorio;Selection Sort;2;499999500000;2999949;816003.166255;sim
1000000;Aleatorio;Merch Sort;2;0;19951424;7.119900;nao
1000000;Aleatorio;Quick Sort;2;26536601;14004054;86.126585;sim
1000000;Aleatorio;Heap Sort;2;1806752;3920262;3.373166;nao
1000000;Aleatorio;Shell Sort;2;118679266;36000014;127.805265;sim
1000000;Aleatorio;Bubble Sort;3;499998865499;750474172902;1095105.699896;sim
1000000;Aleatorio;InsertionSort;3;500317115258;2000000;184123.585690;sim
1000000;Aleatorio;Selection Sort;3;499999500000;2999949;775646.857431;sim
1000000;Aleatorio;Merch Sort;3;0;19951424;6.797359;nao
1000000;Aleatorio;Quick Sort;3;26847305;13886748;83.889151;sim
1000000;Aleatorio;Heap Sort;3;1806868;3920610;3.247145;nao
1000000;Aleatorio;Shell Sort;3;115534361;36000014;126.985794;sim
